Atomic_mass,Atomic_no,Atomic_orbitals,Atomic_radius,Atomic_radius_calculated,Boiling_point,Brinell_hardness,Bulk_modulus,Coefficient_of_linear_thermal_expansion,Common_oxidation_states,Critical_temperature,Density_of_solid,Electrical_resistivity,Electronic_structure,ICSD_oxidation_states,Liquid_range,Melting_point,Mendeleev_no,Mineral_hardness,Molar_volume,Name,Oxidation_states,Poissons_ratio,Reflectivity,Refractive_index,Rigidity_modulus,Shannon_radii,Superconduction_temperature,Thermal_conductivity,Van_der_waals_radius,Velocity_of_sound,Vickers_hardness,X,Youngs_modulus,NMR_Quadrupole_Moment,Metallic_radius,iupac_ordering,IUPAC_ordering,symbol,Z,average_anionic_radius,average_cationic_radius,average_ionic_radius,block,full_electronic_structure,group,icsd_oxidation_states,ionic_radii,is_actinoid,is_alkali,is_alkaline,is_chalcogen,is_halogen,is_lanthanoid,is_metal,is_metalloid,is_noble_gas,is_post_transition_metal,is_quadrupolar,is_rare_earth_metal,is_transition_metal,long_name,max_oxidation_state,min_oxidation_state,number,row,valence,Max_oxidation_state,Min_oxidation_state,Ionic_radii,Ionic_radii_hs,Ionic_radii_ls,Ionic_radii_-1,Ionic_radii_7,Ionic_radii_5,Ionic_radii_8,Ionic_radii_4,Ionic_radii_1,Ionic_radii_2,Ionic_radii_-2,Ionic_radii_-3,Ionic_radii_6,Ionic_radii_3
132.9054519,55.0,"{'1s': -1256.738791, '2p': -180.995344, '2s': -191.981873, '3d': -26.418398, '3p': -35.166423, '3s': -39.851584, '4d': -2.848386, '4p': -5.769326, '4s': -7.455966, '5p': -0.504903, '5s': -0.915819, '6s': -0.078699}",2.6,2.98,944 K,0.14 MN m<sup>-2</sup>,1.6 GPa,no data x10<sup>-6</sup>K<sup>-1</sup>,[1],1938 K,1879 kg m<sup>-3</sup>,21 10<sup>-8</sup> &Omega; m,[Xe].6s<sup>1</sup>,[1],642.41 K,301.59 K,8.0,0.2,70.94 cm<sup>3</sup>,Cesium,[1],no data,no data %,no data,no data GPa,"{'1': {'VI': {'': {'crystal_radius': 1.81, 'ionic_radius': 1.67}}, 'VIII': {'': {'crystal_radius': 1.88, 'ionic_radius': 1.74}}, 'IX': {'': {'crystal_radius': 1.92, 'ionic_radius': 1.78}}, 'X': {'': {'crystal_radius': 1.95, 'ionic_radius': 1.81}}, 'XI': {'': {'crystal_radius': 1.99, 'ionic_radius': 1.85}}, 'XII': {'': {'crystal_radius': 2.02, 'ionic_radius': 1.88}}}}",no data K,36 W m<sup>-1</sup> K<sup>-1</sup>,3.43,no data m s<sup>-1</sup>,no data MN m<sup>-2</sup>,0.79,1.7 GPa,,2.719,7.0,7.0,Cs,55.0,0.0,1.81,1.81,s,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (6, 's', 1)]",1.0,"(1,)",{1: 1.81},False,True,False,False,False,False,True,False,False,False,False,False,False,Cesium,1.0,1.0,55.0,6.0,"(0, 1)",,,{'1': 1.81},,,,,,,,1.81,,,,,
137.327,56.0,"{'1s': -1305.743258, '2p': -189.598483, '2s': -200.844444, '3d': -28.528933, '3p': -37.536931, '3s': -42.359434, '4d': -3.432441, '4p': -6.497622, '4s': -8.257061, '5p': -0.698605, '5s': -1.157159, '6s': -0.118967}",2.15,2.53,2143 K,no data MN m<sup>-2</sup>,9.6 GPa,20.6 x10<sup>-6</sup>K<sup>-1</sup>,[2],no data K,3510 kg m<sup>-3</sup>,34 10<sup>-8</sup> &Omega; m,[Xe].6s<sup>2</sup>,[2],1143 K,1000 K,14.0,1.25,38.16 cm<sup>3</sup>,Barium,[2],no data,no data %,no data,4.9 GPa,"{'2': {'VI': {'': {'crystal_radius': 1.49, 'ionic_radius': 1.35}}, 'VII': {'': {'crystal_radius': 1.52, 'ionic_radius': 1.38}}, 'VIII': {'': {'crystal_radius': 1.56, 'ionic_radius': 1.42}}, 'IX': {'': {'crystal_radius': 1.61, 'ionic_radius': 1.47}}, 'X': {'': {'crystal_radius': 1.66, 'ionic_radius': 1.52}}, 'XI': {'': {'crystal_radius': 1.71, 'ionic_radius': 1.57}}, 'XII': {'': {'crystal_radius': 1.75, 'ionic_radius': 1.61}}}}",no data K,18 W m<sup>-1</sup> K<sup>-1</sup>,2.68,1620 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,0.89,13 GPa,,2.236,13.0,13.0,Ba,56.0,0.0,1.49,1.49,s,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (6, 's', 2)]",2.0,"(2,)",{2: 1.49},False,False,True,False,False,False,True,False,False,False,False,False,False,Barium,2.0,2.0,56.0,6.0,,,,{'2': 1.49},,,,,,,,,1.49,,,,
138.90547,57.0,"{'1s': -1355.622446, '2p': -198.325243, '2s': -209.831151, '3d': -30.626696, '3p': -39.895838, '3s': -44.856283, '4d': -3.95801, '4p': -7.167724, '4s': -9.000543, '5d': -0.141085, '5p': -0.824498, '5s': -1.324936, '6s': -0.132233}",1.95,no data,3743 K,363 MN m<sup>-2</sup>,28 GPa,12.1 x10<sup>-6</sup>K<sup>-1</sup>,[3],no data K,6146 kg m<sup>-3</sup>,61.5 10<sup>-8</sup> &Omega; m,[Xe].5d<sup>1</sup>.6s<sup>2</sup>,"[2, 3]",2550 K,1193 K,33.0,2.5,22.39 cm<sup>3</sup>,Lanthanum,"[2, 3]",0.28,no data %,no data,14 GPa,"{'3': {'VI': {'': {'crystal_radius': 1.172, 'ionic_radius': 1.032}}, 'VII': {'': {'crystal_radius': 1.24, 'ionic_radius': 1.1}}, 'VIII': {'': {'crystal_radius': 1.3, 'ionic_radius': 1.16}}, 'IX': {'': {'crystal_radius': 1.356, 'ionic_radius': 1.216}}, 'X': {'': {'crystal_radius': 1.41, 'ionic_radius': 1.27}}, 'XII': {'': {'crystal_radius': 1.5, 'ionic_radius': 1.36}}}}",6.00 K,13 W m<sup>-1</sup> K<sup>-1</sup>,no data,2475 m s<sup>-1</sup>,491 MN m<sup>-2</sup>,1.1,37 GPa,{'La-139': 200.6},1.877,47.0,47.0,La,57.0,0.0,1.172,1.172,f,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (5, 'd', 1), (6, 's', 2)]",3.0,"(2, 3)",{3: 1.172},False,False,False,False,False,True,True,False,False,False,True,True,True,Lanthanum,3.0,2.0,57.0,8.0,"(2, 1)",,,{'3': 1.172},,,,,,,,,,,,,1.172
140.116,58.0,"{'1s': -1406.148284, '2p': -206.925148, '2s': -218.684842, '3d': -32.412569, '3p': -41.938282, '3s': -47.035283, '4d': -4.192548, '4f': -0.337442, '4p': -7.532106, '4s': -9.432744, '5d': -0.14055, '5p': -0.85011, '5s': -1.369728, '6s': -0.133974}",1.85,no data,3633 K,412 MN m<sup>-2</sup>,22 GPa,6.3 x10<sup>-6</sup>K<sup>-1</sup>,"[3, 4]",no data K,6689 kg m<sup>-3</sup>,74 10<sup>-8</sup> &Omega; m,[Xe].4f<sup>1</sup>.5d<sup>1</sup>.6s<sup>2</sup>,"[3, 4]",2565 K,1068 K,32.0,2.5,20.69 cm<sup>3</sup>,Cerium,"[2, 3, 4]",0.24,no data %,no data,14 GPa,"{'3': {'VI': {'': {'crystal_radius': 1.15, 'ionic_radius': 1.01}}, 'VII': {'': {'crystal_radius': 1.21, 'ionic_radius': 1.07}}, 'VIII': {'': {'crystal_radius': 1.283, 'ionic_radius': 1.143}}, 'IX': {'': {'crystal_radius': 1.336, 'ionic_radius': 1.196}}, 'X': {'': {'crystal_radius': 1.39, 'ionic_radius': 1.25}}, 'XII': {'': {'crystal_radius': 1.48, 'ionic_radius': 1.34}}}, '4': {'VI': {'': {'crystal_radius': 1.01, 'ionic_radius': 0.87}}, 'VIII': {'': {'crystal_radius': 1.11, 'ionic_radius': 0.97}}, 'X': {'': {'crystal_radius': 1.21, 'ionic_radius': 1.07}}, 'XII': {'': {'crystal_radius': 1.28, 'ionic_radius': 1.14}}}}",0.022  (under pressure)K,11 W m<sup>-1</sup> K<sup>-1</sup>,no data,2100 m s<sup>-1</sup>,270 MN m<sup>-2</sup>,1.12,34 GPa,,1.707,46.0,46.0,Ce,58.0,0.0,1.08,1.08,f,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 1), (5, 'd', 1), (6, 's', 2)]",4.0,"(3, 4)","{3: 1.15, 4: 1.01}",False,False,False,False,False,True,True,False,False,False,False,True,False,Cerium,4.0,2.0,58.0,8.0,,,,"{'3': 1.15, '4': 1.01}",,,,,,,1.01,,,,,,1.15
140.90765,59.0,"{'1s': -1457.338067, '2p': -215.418313, '2s': -227.426363, '3d': -33.913996, '3p': -43.692548, '3s': -48.924994, '4d': -4.154228, '4f': -0.155138, '4p': -7.613108, '4s': -9.577447, '5p': -0.778046, '5s': -1.296106, '6s': -0.124465}",1.85,2.47,3563 K,481 MN m<sup>-2</sup>,29 GPa,6.7 x10<sup>-6</sup>K<sup>-1</sup>,[3],no data K,6640 kg m<sup>-3</sup>,70 10<sup>-8</sup> &Omega; m,[Xe].4f<sup>3</sup>.6s<sup>2</sup>,"[3, 4]",2355 K,1208 K,31.0,no data,20.80 cm<sup>3</sup>,Praseodymium,"[2, 3, 4]",0.28,no data %,no data,15 GPa,"{'3': {'VI': {'': {'crystal_radius': 1.13, 'ionic_radius': 0.99}}, 'VIII': {'': {'crystal_radius': 1.266, 'ionic_radius': 1.126}}, 'IX': {'': {'crystal_radius': 1.319, 'ionic_radius': 1.179}}}, '4': {'VI': {'': {'crystal_radius': 0.99, 'ionic_radius': 0.85}}, 'VIII': {'': {'crystal_radius': 1.1, 'ionic_radius': 0.96}}}}",no data K,13 W m<sup>-1</sup> K<sup>-1</sup>,no data,2280 m s<sup>-1</sup>,400 MN m<sup>-2</sup>,1.13,37 GPa,,1.828,45.0,45.0,Pr,59.0,0.0,1.06,1.06,f,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 3), (6, 's', 2)]",5.0,"(3, 4)","{3: 1.13, 4: 0.99}",False,False,False,False,False,True,True,False,False,False,False,True,False,Praseodymium,4.0,2.0,59.0,8.0,"(3, 3)",,,"{'3': 1.13, '4': 0.99}",,,,,,,0.99,,,,,,1.13
144.242,60.0,"{'1s': -1509.698955, '2p': -224.351816, '2s': -236.613572, '3d': -35.754515, '3p': -45.791219, '3s': -51.161263, '4d': -4.377027, '4f': -0.179508, '4p': -7.96782, '4s': -10.000891, '5p': -0.798503, '5s': -1.334934, '6s': -0.125796}",1.85,2.06,3373 K,265 MN m<sup>-2</sup>,32 GPa,9.6 x10<sup>-6</sup>K<sup>-1</sup>,[3],no data K,6800 kg m<sup>-3</sup>,64.3 10<sup>-8</sup> &Omega; m,[Xe].4f<sup>4</sup>.6s<sup>2</sup>,"[2, 3]",2076 K,1297 K,30.0,no data,20.59 cm<sup>3</sup>,Neodymium,"[2, 3]",0.28,no data %,no data,16 GPa,"{'2': {'VIII': {'': {'crystal_radius': 1.43, 'ionic_radius': 1.29}}, 'IX': {'': {'crystal_radius': 1.49, 'ionic_radius': 1.35}}}, '3': {'VI': {'': {'crystal_radius': 1.123, 'ionic_radius': 0.983}}, 'VIII': {'': {'crystal_radius': 1.249, 'ionic_radius': 1.109}}, 'IX': {'': {'crystal_radius': 1.303, 'ionic_radius': 1.163}}, 'XII': {'': {'crystal_radius': 1.41, 'ionic_radius': 1.27}}}}",no data K,17 W m<sup>-1</sup> K<sup>-1</sup>,no data,2330 m s<sup>-1</sup>,343 MN m<sup>-2</sup>,1.14,41 GPa,,1.821,44.0,44.0,Nd,60.0,0.0,1.2765,1.2765,f,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 4), (6, 's', 2)]",6.0,"(2, 3)","{2: 1.43, 3: 1.123}",False,False,False,False,False,True,True,False,False,False,False,True,False,Neodymium,3.0,2.0,60.0,8.0,"(3, 4)",,,"{'2': 1.43, '3': 1.123}",,,,,,,,,1.43,,,,1.123
145.0,61.0,"{'1s': -1562.980284, '2p': -233.455114, '2s': -245.970548, '3d': -37.625433, '3p': -47.921132, '3s': -53.429311, '4d': -4.596822, '4f': -0.200159, '4p': -8.320495, '4s': -10.422756, '5p': -0.817702, '5s': -1.372265, '6s': -0.127053}",1.85,2.05,3273 K,no data MN m<sup>-2</sup>,33 GPa,11 x10<sup>-6</sup>K<sup>-1</sup>,[3],no data K,7264 kg m<sup>-3</sup>,about 75 10<sup>-8</sup> &Omega; m,[Xe].4f<sup>5</sup>.6s<sup>2</sup>,,1900 K,1373 K,29.0,no data,20.23 cm<sup>3</sup>,Promethium,[3],0.28,no data %,no data,18 GPa,"{'3': {'VI': {'': {'crystal_radius': 1.11, 'ionic_radius': 0.97}}, 'VIII': {'': {'crystal_radius': 1.233, 'ionic_radius': 1.093}}, 'IX': {'': {'crystal_radius': 1.284, 'ionic_radius': 1.144}}}}",no data K,15 W m<sup>-1</sup> K<sup>-1</sup>,no data,no data m s<sup>-1</sup>,no data MN m<sup>-2</sup>,1.13,46 GPa,,1.811,43.0,43.0,Pm,61.0,0.0,1.11,1.11,f,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 5), (6, 's', 2)]",7.0,(),{3: 1.11},False,False,False,False,False,True,True,False,False,False,False,True,False,Promethium,3.0,3.0,61.0,8.0,"(3, 5)",,,{'3': 1.11},,,,,,,,,,,,,1.11
150.36,62.0,"{'1s': -1617.183426, '2p': -242.729726, '2s': -255.498846, '3d': -39.528656, '3p': -50.08426, '3s': -55.731133, '4d': -4.814978, '4f': -0.21776, '4p': -8.672685, '4s': -10.844667, '5p': -0.835987, '5s': -1.408552, '6s': -0.128259}",1.85,2.38,2076 K,441 MN m<sup>-2</sup>,38 GPa,12.7 x10<sup>-6</sup>K<sup>-1</sup>,[3],no data K,7353 kg m<sup>-3</sup>,94 10<sup>-8</sup> &Omega; m,[Xe].4f<sup>6</sup>.6s<sup>2</sup>,"[2, 3]",731 K,1345 K,28.0,no data,19.98 cm<sup>3</sup>,Samarium,"[2, 3]",0.27,no data %,no data,20 GPa,"{'2': {'VII': {'': {'crystal_radius': 1.36, 'ionic_radius': 1.22}}, 'VIII': {'': {'crystal_radius': 1.41, 'ionic_radius': 1.27}}, 'IX': {'': {'crystal_radius': 1.46, 'ionic_radius': 1.32}}}, '3': {'VI': {'': {'crystal_radius': 1.098, 'ionic_radius': 0.958}}, 'VII': {'': {'crystal_radius': 1.16, 'ionic_radius': 1.02}}, 'VIII': {'': {'crystal_radius': 1.219, 'ionic_radius': 1.079}}, 'IX': {'': {'crystal_radius': 1.272, 'ionic_radius': 1.132}}, 'XII': {'': {'crystal_radius': 1.38, 'ionic_radius': 1.24}}}}",no data K,13 W m<sup>-1</sup> K<sup>-1</sup>,no data,2130 m s<sup>-1</sup>,412 MN m<sup>-2</sup>,1.17,50 GPa,,1.804,42.0,42.0,Sm,62.0,0.0,1.229,1.229,f,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 6), (6, 's', 2)]",8.0,"(2, 3)","{2: 1.36, 3: 1.0979999999999999}",False,False,False,False,False,True,True,False,False,False,False,True,False,Samarium,3.0,2.0,62.0,8.0,"(3, 6)",,,"{'2': 1.36, '3': 1.0979999999999999}",,,,,,,,,1.36,,,,1.0979999999999999
151.964,63.0,"{'1s': -1672.309322, '2p': -252.176697, '2s': -265.199534, '3d': -41.465518, '3p': -52.281987, '3s': -58.068128, '4d': -5.03242, '4f': -0.232773, '4p': -9.025455, '4s': -11.267747, '5p': -0.853575, '5s': -1.444087, '6s': -0.129426}",1.85,2.31,1800 K,no data MN m<sup>-2</sup>,8.3 GPa,35 x10<sup>-6</sup>K<sup>-1</sup>,"[2, 3]",no data K,5244 kg m<sup>-3</sup>,90 10<sup>-8</sup> &Omega; m,[Xe].4f<sup>7</sup>.6s<sup>2</sup>,"[2, 3]",701 K,1099 K,18.0,no data,28.97 cm<sup>3</sup>,Europium,"[2, 3]",0.15,no data %,no data,7.9 GPa,"{'2': {'VI': {'': {'crystal_radius': 1.31, 'ionic_radius': 1.17}}, 'VII': {'': {'crystal_radius': 1.34, 'ionic_radius': 1.2}}, 'VIII': {'': {'crystal_radius': 1.39, 'ionic_radius': 1.25}}, 'IX': {'': {'crystal_radius': 1.44, 'ionic_radius': 1.3}}, 'X': {'': {'crystal_radius': 1.49, 'ionic_radius': 1.35}}}, '3': {'VI': {'': {'crystal_radius': 1.087, 'ionic_radius': 0.947}}, 'VII': {'': {'crystal_radius': 1.15, 'ionic_radius': 1.01}}, 'VIII': {'': {'crystal_radius': 1.206, 'ionic_radius': 1.066}}, 'IX': {'': {'crystal_radius': 1.26, 'ionic_radius': 1.12}}}}",no data K,14 W m<sup>-1</sup> K<sup>-1</sup>,no data,no data m s<sup>-1</sup>,167 MN m<sup>-2</sup>,1.2,18 GPa,,2.041,41.0,41.0,Eu,63.0,0.0,1.1985000000000001,1.1985000000000001,f,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 7), (6, 's', 2)]",9.0,"(2, 3)","{2: 1.31, 3: 1.087}",False,False,False,False,False,True,True,False,False,False,False,True,False,Europium,3.0,2.0,63.0,8.0,"(3, 7)",,,"{'2': 1.31, '3': 1.087}",,,,,,,,,1.31,,,,1.087
157.25,64.0,"{'1s': -1728.625195, '2p': -262.081616, '2s': -275.36313, '3d': -43.754556, '3p': -54.836922, '3s': -60.764408, '4d': -5.531835, '4f': -0.489012, '4p': -9.669866, '4s': -11.986486, '5d': -0.12722, '5p': -0.978749, '5s': -1.608477, '6s': -0.143627}",1.8,2.33,3523 K,no data MN m<sup>-2</sup>,38 GPa,9.4 x10<sup>-6</sup>K<sup>-1</sup>,[3],no data K,7901 kg m<sup>-3</sup>,131 10<sup>-8</sup> &Omega; m,[Xe].4f<sup>7</sup>.5d<sup>1</sup>.6s<sup>2</sup>,[3],1938 K,1585 K,27.0,no data,19.90 cm<sup>3</sup>,Gadolinium,"[1, 2, 3]",0.26,no data %,no data,22 GPa,"{'3': {'VI': {'': {'crystal_radius': 1.078, 'ionic_radius': 0.938}}, 'VII': {'': {'crystal_radius': 1.14, 'ionic_radius': 1.0}}, 'VIII': {'': {'crystal_radius': 1.193, 'ionic_radius': 1.053}}, 'IX': {'': {'crystal_radius': 1.247, 'ionic_radius': 1.107}}}}",1.083 K,11 W m<sup>-1</sup> K<sup>-1</sup>,no data,2680 m s<sup>-1</sup>,570 MN m<sup>-2</sup>,1.2,55 GPa,,1.802,40.0,40.0,Gd,64.0,0.0,1.075,1.075,f,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 7), (5, 'd', 1), (6, 's', 2)]",10.0,"(3,)",{3: 1.075},False,False,False,False,False,True,True,False,False,False,False,True,False,Gadolinium,3.0,1.0,64.0,8.0,,,,{'3': 1.075},,,,,,,,,,,,,1.075
158.92535,65.0,"{'1s': -1785.331942, '2p': -271.590585, '2s': -285.121013, '3d': -45.443863, '3p': -56.785113, '3s': -62.851563, '4d': -5.467662, '4f': -0.256311, '4p': -9.735637, '4s': -12.120486, '5p': -0.88723, '5s': -1.513669, '6s': -0.131677}",1.75,2.25,3503 K,677 MN m<sup>-2</sup>,38.7 GPa,10.3 x10<sup>-6</sup>K<sup>-1</sup>,[3],no data K,8219 kg m<sup>-3</sup>,115 10<sup>-8</sup> &Omega; m,[Xe].4f<sup>9</sup>.6s<sup>2</sup>,"[3, 4]",1874 K,1629 K,26.0,no data,19.30 cm<sup>3</sup>,Terbium,"[1, 3, 4]",0.26,no data %,no data,22 GPa,"{'3': {'VI': {'': {'crystal_radius': 1.063, 'ionic_radius': 0.923}}, 'VII': {'': {'crystal_radius': 1.12, 'ionic_radius': 0.98}}, 'VIII': {'': {'crystal_radius': 1.18, 'ionic_radius': 1.04}}, 'IX': {'': {'crystal_radius': 1.235, 'ionic_radius': 1.095}}}, '4': {'VI': {'': {'crystal_radius': 0.9, 'ionic_radius': 0.76}}, 'VIII': {'': {'crystal_radius': 1.02, 'ionic_radius': 0.88}}}}",no data K,11 W m<sup>-1</sup> K<sup>-1</sup>,no data,2620 m s<sup>-1</sup>,863 MN m<sup>-2</sup>,1.1,56 GPa,,1.781,39.0,39.0,Tb,65.0,0.0,0.9815,0.9815,f,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 9), (6, 's', 2)]",11.0,"(3, 4)","{3: 1.063, 4: 0.9}",False,False,False,False,False,True,True,False,False,False,False,True,False,Terbium,4.0,1.0,65.0,8.0,"(3, 9)",,,"{'3': 1.063, '4': 0.9}",,,,,,,0.9,,,,,,1.063
162.5,66.0,"{'1s': -1843.229585, '2p': -281.558531, '2s': -295.342856, '3d': -47.4867, '3p': -59.091931, '3s': -65.299442, '4d': -5.686352, '4f': -0.265302, '4p': -10.094091, '4s': -12.551251, '5p': -0.90349, '5s': -1.547977, '6s': -0.132769}",1.75,2.28,2840 K,500 MN m<sup>-2</sup>,41 GPa,9.9 x10<sup>-6</sup>K<sup>-1</sup>,[3],no data K,8551 kg m<sup>-3</sup>,92.6 10<sup>-8</sup> &Omega; m,[Xe].4f<sup>10</sup>.6s<sup>2</sup>,[3],1160 K,1680 K,24.0,no data,19.01 cm<sup>3</sup>,Dysprosium,"[2, 3]",0.25,no data %,no data,25 GPa,"{'2': {'VI': {'': {'crystal_radius': 1.21, 'ionic_radius': 1.07}}, 'VII': {'': {'crystal_radius': 1.27, 'ionic_radius': 1.13}}, 'VIII': {'': {'crystal_radius': 1.33, 'ionic_radius': 1.19}}}, '3': {'VI': {'': {'crystal_radius': 1.052, 'ionic_radius': 0.912}}, 'VII': {'': {'crystal_radius': 1.11, 'ionic_radius': 0.97}}, 'VIII': {'': {'crystal_radius': 1.167, 'ionic_radius': 1.027}}, 'IX': {'': {'crystal_radius': 1.223, 'ionic_radius': 1.083}}}}",no data K,11 W m<sup>-1</sup> K<sup>-1</sup>,no data,2710 m s<sup>-1</sup>,540 MN m<sup>-2</sup>,1.22,61 GPa,,1.773,38.0,38.0,Dy,66.0,0.0,1.131,1.131,f,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 10), (6, 's', 2)]",12.0,"(3,)","{2: 1.21, 3: 1.052}",False,False,False,False,False,True,True,False,False,False,False,True,False,Dysprosium,3.0,2.0,66.0,8.0,"(3, 10)",,,"{'2': 1.21, '3': 1.052}",,,,,,,,,1.21,,,,1.052
164.93032,67.0,"{'1s': -1902.051908, '2p': -291.700994, '2s': -305.739294, '3d': -49.565996, '3p': -61.436304, '3s': -67.785492, '4d': -5.906195, '4f': -0.272677, '4p': -10.455303, '4s': -12.985498, '5p': -0.919463, '5s': -1.582088, '6s': -0.133845}",1.75,no data,2993 K,746 MN m<sup>-2</sup>,40 GPa,11.2 x10<sup>-6</sup>K<sup>-1</sup>,[3],no data K,8795 kg m<sup>-3</sup>,81.4 10<sup>-8</sup> &Omega; m,[Xe].4f<sup>11</sup>.6s<sup>2</sup>,[3],1259 K,1734 K,23.0,no data,18.74 cm<sup>3</sup>,Holmium,[3],0.23,no data %,no data,26 GPa,"{'3': {'VI': {'': {'crystal_radius': 1.041, 'ionic_radius': 0.901}}, 'VIII': {'': {'crystal_radius': 1.155, 'ionic_radius': 1.015}}, 'IX': {'': {'crystal_radius': 1.212, 'ionic_radius': 1.072}}, 'X': {'': {'crystal_radius': 1.26, 'ionic_radius': 1.12}}}}",no data K,16 W m<sup>-1</sup> K<sup>-1</sup>,no data,2760 m s<sup>-1</sup>,481 MN m<sup>-2</sup>,1.23,65 GPa,,1.765,37.0,37.0,Ho,67.0,0.0,1.041,1.041,f,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 11), (6, 's', 2)]",13.0,"(3,)",{3: 1.041},False,False,False,False,False,True,True,False,False,False,False,True,False,Holmium,3.0,3.0,67.0,8.0,"(3, 11)",,,{'3': 1.041},,,,,,,,,,,,,1.041
167.259,68.0,"{'1s': -1961.799176, '2p': -302.01827, '2s': -316.310631, '3d': -51.682149, '3p': -63.818655, '3s': -70.310142, '4d': -6.127443, '4f': -0.278577, '4p': -10.819574, '4s': -13.423547, '5p': -0.935202, '5s': -1.616073, '6s': -0.134905}",1.75,2.26,3141 K,814 MN m<sup>-2</sup>,44 GPa,12.2 x10<sup>-6</sup>K<sup>-1</sup>,[3],no data K,9066 kg m<sup>-3</sup>,86.0 10<sup>-8</sup> &Omega; m,[Xe].4f<sup>12</sup>.6s<sup>2</sup>,[3],1371 K,1802 K,22.0,no data,18.46 cm<sup>3</sup>,Erbium,[3],0.24,no data %,no data,28 GPa,"{'3': {'VI': {'': {'crystal_radius': 1.03, 'ionic_radius': 0.89}}, 'VII': {'': {'crystal_radius': 1.085, 'ionic_radius': 0.945}}, 'VIII': {'': {'crystal_radius': 1.144, 'ionic_radius': 1.004}}, 'IX': {'': {'crystal_radius': 1.202, 'ionic_radius': 1.062}}}}",no data K,15 W m<sup>-1</sup> K<sup>-1</sup>,no data,2830 m s<sup>-1</sup>,589 MN m<sup>-2</sup>,1.24,70 GPa,,1.756,36.0,36.0,Er,68.0,0.0,1.03,1.03,f,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 12), (6, 's', 2)]",14.0,"(3,)",{3: 1.03},False,False,False,False,False,True,True,False,False,False,False,True,False,Erbium,3.0,3.0,68.0,8.0,"(3, 12)",,,{'3': 1.03},,,,,,,,,,,,,1.03
